t,u1,u3,tau,theta,theta_dot,theta_ddot,x_g,z_g
0.9593241551939924,6.25108971734673,-0.17351384161814226,-0.1593446807319004,0.2500211104230989,-0.12138446659057747,-1.180763407186823,-1.4924332928579378,1.7945434743523376
0.9637046307884856,6.2544979609696485,-0.1734370117957189,-0.15936389724297512,0.24947806671682327,-0.12653938304056186,-1.1727595460619824,-1.4866033267792698,1.7925658028941172
0.9680851063829788,6.257923405269695,-0.17335650461801916,-0.1593809540621888,0.24891251882641893,-0.13165895625918184,-1.164629212985864,-1.4807286459175633,1.790577866800654
0.9724655819774718,6.261365749397479,-0.17327237658294928,-0.15939584562792597,0.24832462278393852,-0.13674264452981968,-1.1563775795852747,-1.474809347031918,1.7885797428583328
0.9768460575719649,6.264824701231843,-0.17318467955526232,-0.15940856758989266,0.24771453693812986,-0.1417899268209627,-1.1480093304474703,-1.468845530664408,1.7865715079831685
0.981226533166458,6.268299977345538,-0.17309347279496623,-0.15941911682938223,0.24708242188595525,-0.14680030245742945,-1.139529663798667,-1.4628373011007545,1.784553239194363
0.9856070087609512,6.271791302853825,-0.1729988187048662,-0.15942749147782162,0.24642844036274208,-0.15177329594852124,-1.1309439355870474,-1.456784766330463,1.7825250135883113
0.9899874843554444,6.275298411226151,-0.1729007749630328,-0.1594336909352882,0.245752757131387,-0.15670845354416083,-1.1222570023120506,-1.4506880380064964,1.7804869083130492
0.9943679599499372,6.278821044177963,-0.1727994047447497,-0.15943771588883066,0.24505553890267215,-0.16160534230144727,-1.1134740713265865,-1.444547231404516,1.778439000543185
0.9987484355444304,6.282358951539742,-0.1726947754751164,-0.15943956833026693,0.24433695423266671,-0.16646355409159916,-1.1046005954041234,-1.4383624653817433,1.7763813674553066
1.0031289111389237,6.285911891010912,-0.17258695173443406,-0.1594392515714526,0.24359717340792206,-0.17128270374571222,-1.0956416802484528,-1.4321338623354787,1.7743140862039029
1.0075093867334166,6.289479627968777,-0.17247600237735455,-0.15943677025905692,0.24283636835911285,-0.176062427864527,-1.086602676524802,-1.4258615481613461,1.7722372338977952
1.0118898623279098,6.293061935419596,-0.172361998968476,-0.1594321303930731,0.24205471255669805,-0.18080238815586536,-1.0774890479502421,-1.4195456522112944,1.7701508875771013
1.016270337922403,6.296658593712138,-0.17224501084211497,-0.15942533933921021,0.24125238089527365,-0.18550226909306322,-1.0683059585753958,-1.4131863072514168,1.7680551241907423
