t,x_q,z_q,beta
0.33291614518147683,-1.9897823650136448,1.9946864363742918,0.4359612057525256
0.33729662077596995,-1.9892722844935493,1.9944265047573821,0.43589731243749846
0.34167709637046306,-1.9887443778102571,1.9941578377619074,0.4358284768067421
0.3460575719649562,-1.9881982985221742,1.993880283837799,0.43575448173658765
0.3504380475594493,-1.987633699846645,1.9935936920528432,0.43567510614968497
0.3548185231539424,-1.9870502347407457,1.9932979121388519,0.4355901250862892
0.3591989987484355,-1.9864475559812123,1.9929927945371648,0.4354993097784611
0.36357947434292864,-1.9858253162435173,1.9926781904434834,0.43540242772713766
0.36795994993742176,-1.9851831681800973,1.992353951852039,0.435299242782027
0.3723404255319149,-1.9845207644977265,1.9920199315991034,0.4351895152242862
0.376720901126408,-1.983837758034053,1.991675983405838,0.435073001851937
